iter	Passed	Remaining
0	143	143852
1	145	72560
2	146	48804
3	148	37062
4	150	29926
5	151	25123
6	154	21850
7	155	19312
8	157	17348
9	159	15778
10	161	14475
11	162	13377
12	164	12478
13	166	11752
14	168	11053
15	170	10463
16	172	9983
17	174	9509
18	175	9057
19	176	8652
20	178	8309
21	179	7988
22	180	7687
23	182	7408
24	183	7153
25	184	6928
26	186	6717
27	187	6515
28	189	6331
29	190	6170
30	192	6003
31	193	5852
32	194	5709
33	196	5590
34	198	5465
35	199	5343
36	200	5230
37	203	5139
38	204	5041
39	205	4939
40	207	4843
41	208	4765
42	210	4678
43	211	4595
44	212	4511
45	213	4432
46	215	4364
47	216	4290
48	217	4217
49	218	4150
50	219	4083
51	220	4027
52	222	3967
53	223	3917
54	224	3864
55	226	3814
56	228	3775
57	229	3727
58	230	3682
59	235	3685
60	236	3648
61	238	3609
62	240	3578
63	242	3544
64	244	3510
65	245	3478
66	247	3443
67	248	3408
68	249	3371
69	251	3336
70	252	3309
71	254	3279
72	255	3248
73	257	3216
74	258	3192
75	260	3163
76	261	3134
77	262	3104
78	263	3074
79	265	3049
80	266	3024
81	267	2998
82	269	2971
83	270	2946
84	271	2925
85	273	2903
86	274	2879
87	275	2855
88	276	2831
89	278	2812
90	279	2791
91	280	2769
92	281	2748
93	283	2729
94	285	2715
95	286	2694
96	287	2673
97	288	2654
98	289	2635
99	291	2621
100	292	2603
101	293	2584
102	294	2565
103	295	2547
104	297	2537
105	298	2521
106	300	2505
107	301	2490
108	302	2476
109	304	2462
110	305	2447
111	306	2431
112	307	2416
113	308	2400
114	310	2390
115	311	2375
116	312	2360
117	313	2346
118	315	2332
119	316	2321
120	317	2308
121	318	2294
122	319	2280
123	320	2267
124	322	2256
125	324	2247
126	325	2237
127	326	2226
128	328	2216
129	329	2206
130	330	2195
131	332	2184
132	333	2174
133	334	2164
134	336	2154
135	337	2143
136	338	2133
137	339	2123
138	342	2119
139	343	2111
140	344	2101
141	346	2091
142	347	2085
143	349	2077
144	350	2068
145	352	2059
146	353	2051
147	355	2044
148	356	2036
149	357	2026
150	358	2017
151	360	2009
152	361	2002
153	363	1994
154	364	1986
155	365	1977
156	367	1974
157	369	1967
158	370	1958
159	371	1949
160	372	1942
161	374	1934
162	375	1926
163	376	1917
